,n,ComputationalGrid.DX,ComputationalGrid.DY,Geom.domain.ICPressure.Value,Patch.x-lower.BCPressure.alltime.Value,Patch.x-upper.BCPressure.alltime.Value,Patch.y-lower.BCPressure.alltime.Value,Patch.y-upper.BCPressure.alltime.Value,ComputationalGrid.NZ,Patch.z-upper.BCPressure.rain.Value,Contaminants.Names,Wells.Names,ComputationalGrid.DZ,Geom.domain.Upper.X,Geom.domain.Upper.Y,Mal_Qo,Mal_Qf,Mal_a,Bous_Qo,Bous_Qf,Bous_a,Cou_Qo,Cou_Qf,Cou_a,Cou_b,Mal_MSE,Mal_RMSE,Mal_Rsq,Bous_MSE,Bous_RMSE,Bous_Rsq,Cou_MSE,Cou_RMSE,Cou_Rsq
3664,6939,10,10,0.0,0.0,0.0,0.0,0.0,100,-0.1356526,,,0.1,10,10.0,2.4865263548872054,2.4274395003056277,0.5684447817201277,2.488130683099675,2.4272057447838167,0.4401802733783512,2.4616519823864262,2.4271344578596974,0.2012012447033654,0.9696788973945688,1.749000976194443e-08,0.00013224980061211596,0.999480702333453,3.1104736593081424e-07,0.0005577162055479597,0.99076466088287,6.290958788476235e-06,0.0025081783805136816,0.8134572510237582
3665,2,10,10,7.5,7.5,7.5,7.5,7.5,100,-0.4879840999999999,,,0.1,10,10.0,2.5033129752361467,2.499720740848133,1.3676462212974552,2.5033181680161647,2.4997163474583988,1.159393720018205,2.500989869827277,2.4997132778803266,0.2732292406362406,0.9785765008453382,8.031239563055148e-11,8.96171834139812e-06,0.9991236788178216,8.021785104114765e-10,2.832275605253621e-05,0.9912471043225309,4.0958049189860484e-08,0.0002023809506595433,0.5539135375105692
3666,4977,100,100,10.0,10.0,10.0,10.0,10.0,1000,-0.17333099999999999,,,0.01,100,100.0,2.504901732527052,2.5048952357118703,1.7345869053203624,2.5049017398343065,2.5048952299649896,1.5451359687823238,2.5048978082777764,2.5048952207366124,0.3513681808316261,0.985485515223234,6.932416364785076e-17,8.32611335785496e-09,0.9997606621311,3.729051413263864e-16,1.9310751961702226e-08,0.9987125654727972,1.146900802588597e-13,3.3865923914587017e-07,0.6051833639452482
3667,1191,10,10,10.0,10.0,10.0,10.0,10.0,10,-0.2061801,,,1.0,10,10.0,2.504705017199044,2.5047023144352365,4.302403898705666,2.5047050171956355,2.5047023144114933,9.299743293367028,2.504703069200603,2.5047023094925747,0.21912597775738107,0.9976514555956574,8.206701378383243e-15,9.059084599661958e-08,0.746058918635215,8.208831752357251e-15,9.060260345242432e-08,0.7459929981824874,2.408993078537959e-14,1.5520931281781898e-07,0.25466413369518515
3668,3035,1000,1000,7.5,7.5,7.5,7.5,7.5,10,-0.3956666,,,1.0,1000,1000.0,12.122347981628794,10.799291667397194,85.28542748924497,12.152921860580499,10.531945073574127,268.0055680695873,12.080074049457314,10.629647240081534,355.87178859888763,0.06943341314432358,5e-324,0.0,1e-323,0.0,0.0,1.6e-322,5.388724053491884e-07,1.1164857415733819e-09,-3.5438362801848617e-06
3669,5347,10,10,7.5,7.5,7.5,7.5,7.5,100,-0.3511132,,,0.1,10,10.0,2.5033101604138848,2.499720901063079,1.4467279929633259,2.503314991895469,2.4997168928257603,1.2440985654406551,2.500962224739242,2.499710395911151,0.2692037478142272,0.9783120946731458,4.350049240351521e-11,6.595490308044976e-06,0.9995197672251568,6.211844659299511e-10,2.492357249532962e-05,0.993142304298632,4.18032360930265e-08,0.00020445839697363007,0.5398805977505385
3670,1483,100,100,5.0,5.0,5.0,5.0,5.0,10,-0.3374787,,,1.0,100,100.0,2.5045330745031498,2.4863785120036157,0.060322485821056836,2.505877446479363,2.4855853110617523,0.04181321370347015,2.5052160966294115,2.4861171223050804,0.16520160433904793,1.2144683845862645,4.14234576898842e-08,0.0002035275354586799,0.99726998672395,4.2648620418109066e-08,0.0002065154241651433,0.9971892423655622,1.2520299424540801e-08,0.00011189414383487993,0.9991748495766576
3671,2258,1,1,10.0,10.0,10.0,10.0,10.0,100,-0.1702727,,,0.1,1,1.0,2.504898012769044,2.5048980081866303,0.04848142436042351,2.504898013600488,2.50489800789956,0.03662692630265671,,,,,3.0184873600723473e-18,1.737379451954105e-09,0.258100967113297,2.7867262316485503e-18,1.6693490442829955e-09,0.3143651460179281,,,
3672,541,1000,1000,0.0,0.0,0.0,0.0,0.0,100,-0.3479949,,,0.1,1000,1000.0,2.466668504001247,2.4623171681708387,3.8572522898063983,2.466668517621962,2.462316804292536,6.240124656425862,2.4634772977383435,2.4622917553861363,0.10982100547315878,0.9546735834408628,2.447450411798933e-18,1.5644329361781328e-09,0.9999999999806128,5.040975901633978e-12,2.2452117721128172e-06,0.9999600687372092,9.185778439901708e-08,0.0003030804916173541,0.27236372419500154
3673,5046,10,10,2.5,2.5,2.5,2.5,2.5,10,-0.38070640000000006,,,1.0,10,10.0,2.499072315086025,2.4624207459400664,0.7662982320306038,2.4996015426388536,2.462316877094859,0.5964060365940808,2.478091417157753,2.462186807377405,0.1495023771879036,0.9614727773928324,7.109158439211547e-10,2.666300515548003e-05,0.9999370243808048,1.0821772505236185e-07,0.00032896462583743234,0.990413663865619,4.267260986627138e-06,0.002065734974924697,0.6222335216742926
